Id,GRID_ID,ORIG_FID,NEAR_FID,NEAR_DIST,NEAR_FC
119704,ABZ-926,20962,74,16516.551412602795608,USAWaterBodies_Projected_4counties
119705,ACA-926,20963,74,16729.016730374682083,USAWaterBodies_Projected_4counties
119706,ACB-926,20964,74,16997.750761943789257,USAWaterBodies_Projected_4counties
119707,ACC-926,20965,74,17320.134559672598698,USAWaterBodies_Projected_4counties
119708,ACD-926,20966,74,17679.766106010822114,USAWaterBodies_Projected_4counties
119709,ACE-926,20967,74,18048.655325422401802,USAWaterBodies_Projected_4counties
119710,ACF-926,20968,74,18459.841078836598172,USAWaterBodies_Projected_4counties
119711,ACG-926,20969,70,18171.411115429702477,USAWaterBodies_Projected_4counties
119712,ACH-926,20970,70,17188.922820408679399,USAWaterBodies_Projected_4counties
119713,ACI-926,20971,70,16208.576542249791601,USAWaterBodies_Projected_4counties
119714,ACJ-926,20972,70,15230.785906379689550,USAWaterBodies_Projected_4counties
119715,ACK-926,20973,70,14256.076778903030572,USAWaterBodies_Projected_4counties
119716,ACL-926,20974,70,13285.127433562020087,USAWaterBodies_Projected_4counties
119717,ACM-926,20975,70,12318.826921666941416,USAWaterBodies_Projected_4counties
119718,ACN-926,20976,70,11358.361788831618469,USAWaterBodies_Projected_4counties
119719,ACO-926,20977,70,10405.348063663906942,USAWaterBodies_Projected_4counties
119720,ACP-926,20978,70,9462.037525078741965,USAWaterBodies_Projected_4counties
119721,ACQ-926,20979,70,8528.693399310461245,USAWaterBodies_Projected_4counties
119722,ACR-926,20980,70,7597.890696768903581,USAWaterBodies_Projected_4counties
119723,ACS-926,20981,70,6683.858888400524847,USAWaterBodies_Projected_4counties
119724,ACT-926,20982,70,5798.275281500003075,USAWaterBodies_Projected_4counties
119725,ACU-926,20983,70,4956.412295204786460,USAWaterBodies_Projected_4counties
119726,ACV-926,20984,70,4184.740068398564290,USAWaterBodies_Projected_4counties
119727,ACW-926,20985,70,3529.599983009925381,USAWaterBodies_Projected_4counties
119728,ACX-926,20986,70,3048.137991801494991,USAWaterBodies_Projected_4counties
119729,ACY-926,20987,70,2761.070687164123683,USAWaterBodies_Projected_4counties
119730,ACZ-926,20988,70,2652.903893330902065,USAWaterBodies_Projected_4counties
119731,ADA-926,20989,70,2762.229148216031717,USAWaterBodies_Projected_4counties
119732,ADB-926,20990,70,2928.740465240898629,USAWaterBodies_Projected_4counties
119733,ADC-926,20991,70,2815.672245709663002,USAWaterBodies_Projected_4counties
119734,ADD-926,20992,70,2790.958322168495670,USAWaterBodies_Projected_4counties
119735,ADE-926,20993,70,2783.908818262532350,USAWaterBodies_Projected_4counties
119736,ADF-926,20994,70,3035.997100875173146,USAWaterBodies_Projected_4counties
119737,ADG-926,20995,70,3443.480377138988842,USAWaterBodies_Projected_4counties
119738,ADH-926,20996,70,4039.613856266671519,USAWaterBodies_Projected_4counties
119739,ADI-926,20997,70,4772.777295007814246,USAWaterBodies_Projected_4counties
119740,ADJ-926,20998,70,5589.304617547922135,USAWaterBodies_Projected_4counties
119741,ADK-926,20999,70,6457.650432451646338,USAWaterBodies_Projected_4counties
119742,ADL-926,21000,70,7359.495370454645126,USAWaterBodies_Projected_4counties
119743,ADM-926,21001,70,8283.905788198208029,USAWaterBodies_Projected_4counties
119744,ADN-926,21002,70,9224.099853521978730,USAWaterBodies_Projected_4counties
119745,ADO-926,21003,70,10175.703469920132193,USAWaterBodies_Projected_4counties
119746,ADP-926,21004,70,11135.792028757767184,USAWaterBodies_Projected_4counties
119747,ADQ-926,21005,70,12102.346347206621431,USAWaterBodies_Projected_4counties
119748,ADR-926,21006,70,13073.932465319907351,USAWaterBodies_Projected_4counties
119749,ADS-926,21007,70,14049.506507623187645,USAWaterBodies_Projected_4counties
119750,ADT-926,21008,70,15028.291855954445055,USAWaterBodies_Projected_4counties
119751,ADU-926,21009,70,16009.699532088261549,USAWaterBodies_Projected_4counties
119752,ADV-926,21010,70,16993.275202495471603,USAWaterBodies_Projected_4counties
119753,ADW-926,21011,70,17978.663051176747103,USAWaterBodies_Projected_4counties
119754,ADX-926,21012,67,18499.258338666328200,USAWaterBodies_Projected_4counties
119755,ADY-926,21013,67,17865.189315557749069,USAWaterBodies_Projected_4counties
119756,ADZ-926,21014,67,17203.787132185225346,USAWaterBodies_Projected_4counties
119757,AEA-926,21015,67,16379.070934871195277,USAWaterBodies_Projected_4counties
119758,AEB-926,21016,67,15574.904098887504006,USAWaterBodies_Projected_4counties
119759,AEC-926,21017,67,14794.637903292639749,USAWaterBodies_Projected_4counties
119760,AED-926,21018,67,14042.257072477474139,USAWaterBodies_Projected_4counties
119761,AEE-926,21019,67,13322.486880817112251,USAWaterBodies_Projected_4counties
119762,AEF-926,21020,67,12640.899085490102152,USAWaterBodies_Projected_4counties
119763,AEG-926,21021,67,12003.999445582498083,USAWaterBodies_Projected_4counties
119764,AEH-926,21022,67,11419.267738762644512,USAWaterBodies_Projected_4counties
119765,AEI-926,21023,67,10894.033970846445300,USAWaterBodies_Projected_4counties
119766,AEJ-926,21024,67,10415.847320996024791,USAWaterBodies_Projected_4counties
119767,AEK-926,21025,67,10013.928700280424891,USAWaterBodies_Projected_4counties
119768,AEL-926,21026,67,9698.848416915272537,USAWaterBodies_Projected_4counties
119769,AEM-926,21027,67,9479.269656165490233,USAWaterBodies_Projected_4counties
119770,AEN-926,21028,67,9361.914644681381105,USAWaterBodies_Projected_4counties
119771,AEO-926,21029,67,9350.633048852874708,USAWaterBodies_Projected_4counties
119772,AEP-926,21030,67,9445.804942634562394,USAWaterBodies_Projected_4counties
119773,AEQ-926,21031,73,9255.762910410916447,USAWaterBodies_Projected_4counties
119774,AER-926,21032,73,8267.627438010273181,USAWaterBodies_Projected_4counties
119775,AES-926,21033,73,7282.731620329164798,USAWaterBodies_Projected_4counties
119776,AET-926,21034,73,6302.594406571329273,USAWaterBodies_Projected_4counties
119777,AEU-926,21035,73,5329.841710008482551,USAWaterBodies_Projected_4counties
119778,AEV-926,21036,73,4369.408318496692118,USAWaterBodies_Projected_4counties
119779,AEW-926,21037,73,3431.653457700825584,USAWaterBodies_Projected_4counties
119780,AEX-926,21038,73,2534.770257459361801,USAWaterBodies_Projected_4counties
119781,AEY-926,21039,73,1734.113680847993010,USAWaterBodies_Projected_4counties
119782,AEZ-926,21040,73,1238.066638316335684,USAWaterBodies_Projected_4counties
119783,AFA-926,21041,73,677.222886963103747,USAWaterBodies_Projected_4counties
119784,AFB-926,21042,73,245.086233294811109,USAWaterBodies_Projected_4counties
119785,AFC-926,21043,73,92.198157974113045,USAWaterBodies_Projected_4counties
119786,AFD-926,21044,73,0.000000000000000,USAWaterBodies_Projected_4counties
119787,AFE-926,21045,73,0.000000000000000,USAWaterBodies_Projected_4counties
119788,AFF-926,21046,73,166.794513789558891,USAWaterBodies_Projected_4counties
119789,AFG-926,21047,73,393.613045189217985,USAWaterBodies_Projected_4counties
119790,AFH-926,21048,73,828.807403809270795,USAWaterBodies_Projected_4counties
119791,AFI-926,21049,73,386.684428775726133,USAWaterBodies_Projected_4counties
119792,AFJ-926,21050,73,0.000000000000000,USAWaterBodies_Projected_4counties
119793,AFK-926,21051,73,0.000000000000000,USAWaterBodies_Projected_4counties
119794,AFL-926,21052,73,444.692446175881116,USAWaterBodies_Projected_4counties
